2019-12-15 13:58:52.169 [main] INFO  org.alanhou.Application - Starting Application on KristendeMacBook-Pro.local with PID 6187 (/Users/chentingting07/IdeaProjects/MyProject/ApiAutoTest/Chapter11/target/classes started by chentingting07 in /Users/chentingting07/IdeaProjects/MyProject/ApiAutoTest)
2019-12-15 13:58:52.173 [main] INFO  org.alanhou.Application - No active profile set, falling back to default profiles: default
2019-12-15 13:58:52.206 [main] INFO  o.s.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@31190526: startup date [Sun Dec 15 13:58:52 CST 2019]; root of context hierarchy
2019-12-15 13:58:52.654 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[org.alanhou]' package. Please check your configuration.
2019-12-15 13:58:53.405 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2019-12-15 13:58:53.444 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-12-15 13:58:53.444 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.32
2019-12-15 13:58:53.448 [localhost-startStop-1] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/chentingting07/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2019-12-15 13:58:53.540 [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-12-15 13:58:53.541 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1335 ms
2019-12-15 13:58:53.597 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
2019-12-15 13:58:53.600 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2019-12-15 13:58:53.601 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2019-12-15 13:58:53.601 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2019-12-15 13:58:53.601 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2019-12-15 13:58:53.965 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-12-15 13:58:54.119 [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@31190526: startup date [Sun Dec 15 13:58:52 CST 2019]; root of context hierarchy
2019-12-15 13:58:54.239 [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/v1/deleteUser],methods=[POST]}" onto public int org.alanhou.controller.Demo.delUser(int)
2019-12-15 13:58:54.240 [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/v1/getUserCount],methods=[GET]}" onto public int org.alanhou.controller.Demo.getUserCount()
2019-12-15 13:58:54.241 [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/v1/updateUser],methods=[POST]}" onto public int org.alanhou.controller.Demo.updateUser(org.alanhou.model.User)
